category,value,ADE,FDE,n_samples
overall,all,0.5803,1.3506,15658
class,bicycle,0.9982,2.3782,1476
class,motorcycle,2.466,7.069,77
class,person,0.5156,1.1873,13763
class,scooter,1.0298,2.3906,280
class,stroller,0.5983,1.3196,62
ground_type,bikelane,0.6707,1.5946,170
ground_type,crosswalk,0.5874,1.3716,2790
ground_type,curb,1.0949,2.8855,43
ground_type,ground,0.2644,0.5392,174
ground_type,road_line,0.6803,1.5668,43
ground_type,sidewalk,0.5427,1.2504,11687
ground_type,unknown,1.1549,2.8631,751
traffic_light,green,0.5276,1.2137,5630
traffic_light,no_signal,0.4337,0.9288,2051
traffic_light,red,0.6551,1.5555,7977
crosswalk,yes,0.5874,1.3716,2790
crosswalk,no,0.5787,1.346,12868
